"Date","Ticker","ticker_name","exposure","category","close","model_score"
10/14/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.82,0.72
10/15/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",228.68,8.13
10/16/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",229.39,6.26
10/17/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.09,0.30
10/18/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.91,0.65
10/21/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.99,0.63
10/22/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.75,0.83
10/23/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",228.43,22.65
10/24/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",229.10,23.06
10/25/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.29,0.76
10/28/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.22,0.54
10/29/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.32,0.50
10/30/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",229.61,0.05
10/31/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",222.24,32.76
11/1/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",223.91,23.33
11/4/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",223.74,20.38
11/5/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",226.89,14.48
11/12/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.15,-8.78
11/13/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.33,-6.05
11/14/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.53,-6.25
11/15/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",228.71,-0.94
11/18/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",229.45,-14.10
11/19/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.33,-3.11
11/20/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.13,-6.65
11/21/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.48,-4.73
11/22/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.60,-14.51
11/25/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.59,-10.88
11/26/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.76,-17.73
11/27/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.58,-11.98
11/29/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.73,-11.96
12/2/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.95,-6.01
12/3/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.80,-4.89
12/4/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.13,-36.65
12/5/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.91,15.55
12/6/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",240.84,7.43
12/9/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.27,6.37
12/10/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.95,8.50
12/11/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.37,3.38
12/12/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",238.03,12.04
12/13/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.05,4.51
12/16/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.44,0.03
12/17/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.98,7.65
12/18/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.24,18.08
12/19/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.49,22.33
12/20/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.96,-18.60
12/23/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",238.07,-18.54
12/24/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",240.53,-23.26
12/26/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",240.69,-11.14
12/27/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",237.49,-8.81
12/30/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.47,-7.56
12/31/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.52,2.78
1/2/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.97,4.74
1/3/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",235.75,-11.78
1/6/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",238.75,-4.10
1/7/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.96,6.21
1/8/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.88,-14.07
1/10/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",228.78,-3.71
1/13/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.16,18.25
1/14/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.76,14.38
1/15/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.29,-9.42
1/16/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.50,-13.21
1/17/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.11,-23.94
1/21/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.06,-9.21
1/22/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.39,-2.25
1/23/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",241.82,-8.51
1/24/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",239.30,-5.41
1/27/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.57,-16.94
1/28/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",233.64,-23.48
1/29/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",231.74,-22.82
1/30/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.17,-14.34
1/31/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.81,-15.73
2/3/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",227.70,-1.01
2/4/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",230.98,-24.85
2/5/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.19,-19.79
2/6/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",234.83,-11.79
2/7/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",232.82,-12.76
2/10/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.22,-15.87
2/11/2025 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",236.33,-7.60
