Ticker,Date,Zscore,prem_disc
CL,2025-09-05,-0.67,0.1978
CL,2025-08-06,-0.22,1.2359
CLX,2025-09-05,0.35,0.0005
CLX,2025-08-06,0.48,0.2965
CMBT,2025-09-05,1.28,0.8883
CMBT,2025-08-06,-1.82,
CMCL,2025-09-05,-0.67,-0.2977
CMCL,2025-08-06,0.77,0.2612
CMCSA,2025-09-05,-1.61,0.4079
CMCSA,2025-08-06,0.93,-0.2118
CME,2025-09-05,-0.15,0.1756
CME,2025-08-06,-0.17,0.6856
CMG,2025-09-05,-1.11,0.3782
CMG,2025-08-06,0.87,-0.6057
CMI,2025-09-05,-2.6,0.1987
CMI,2025-08-06,2.2,0.0359
CMRE,2025-09-05,-1.75,0.0142
CMRE,2025-08-06,1.85,-0.0665
CMS,2025-09-05,-1.65,0.193
CMS,2025-08-06,0.85,0.6954
CNC,2025-09-05,-1.0,0.4907
CNC,2025-08-06,-2.0,-0.37
CNP,2025-09-05,-1.31,0.546
CNP,2025-08-06,0.9,-0.1131
CNR,2025-09-05,-0.75,0.2756
CNR,2025-08-06,-1.69,-0.1542
COF,2025-09-05,0.8,-0.0838
COF,2025-08-06,1.3,-0.1407
COIN,2025-09-05,-2.16,0.2656
COIN,2025-08-06,0.66,-0.5657
COO,2025-09-05,1.57,-0.4854
COO,2025-08-06,1.8,-0.1602
COP,2025-09-05,1.9,0.0513
COP,2025-08-06,-2.17,0.0581
COR,2025-09-05,-0.23,-0.0184
COR,2025-08-06,0.34,0.0905
COST,2025-09-05,-0.55,0.4549
COST,2025-08-06,1.77,-0.0653
CPAY,2025-09-05,-1.3,-0.0641
CPAY,2025-08-06,-0.25,-0.2857
CPB,2025-09-05,1.99,0.1409
CPB,2025-08-06,0.33,0.0932
CPER,2025-09-05,-1.59,0.8037
CPER,2025-08-06,1.32,-0.7192
CPRT,2025-09-05,3.23,0.0425
CPRT,2025-08-06,1.28,0.6907
CPT,2025-09-05,-1.72,0.0679
CPT,2025-08-06,1.95,-0.5132
CRESY,2025-09-05,-0.61,-0.292
CRESY,2025-08-06,1.03,0.7354
CRL,2025-09-05,-3.17,0.5491
CRL,2025-08-06,2.16,-0.2617
CRM,2025-09-05,1.95,-0.2148
CRM,2025-08-06,0.08,0.9565
CRWD,2025-09-05,0.93,-0.0333
CRWD,2025-08-06,-1.12,-0.2749
CSCO,2025-09-05,0.22,-0.2194
CSCO,2025-08-06,1.6,1.5378
CSGP,2025-09-05,-0.98,0.1011
CSGP,2025-08-06,1.02,-0.154
CSX,2025-09-05,0.83,-0.6502
CSX,2025-08-06,0.41,-0.269
CTAS,2025-09-05,0.38,0.4529
CTAS,2025-08-06,-1.49,1.0939
CTRA,2025-09-05,-0.64,0.1327
CTRA,2025-08-06,1.0,0.1615
CTSH,2025-09-05,-2.27,0.5008
CTSH,2025-08-06,-0.61,1.1791
CTVA,2025-09-05,-0.51,0.1735
CTVA,2025-08-06,-0.8,0.3382
CVS,2025-09-05,-1.54,0.4522
CVS,2025-08-06,1.26,-0.1963
CVX,2025-09-05,1.96,-0.0592
CVX,2025-08-06,-3.29,0.3573
CZR,2025-09-05,1.23,0.091
CZR,2025-08-06,-0.44,-0.1471
D,2025-09-05,-0.85,-0.0053
D,2025-08-06,-0.09,1.2528
DAL,2025-09-05,0.09,0.0337
DAL,2025-08-06,0.22,-0.4903
DASH,2025-09-05,-0.65,0.0121
DASH,2025-08-06,-1.59,-0.138
DAY,2025-09-05,0.57,-0.8896
DAY,2025-08-06,-0.18,0.0307
DBB,2025-09-05,-1.21,1.3969
DBB,2025-08-06,-0.3,0.8054
DD,2025-09-05,-2.32,0.0693
DD,2025-08-06,0.96,-0.3106
DDOG,2025-09-05,0.15,-0.1435
DDOG,2025-08-06,-2.26,
DE,2025-09-05,-0.37,-0.2129
DE,2025-08-06,1.82,0.0045
DECK,2025-09-05,-1.16,0.0992
DECK,2025-08-06,1.26,-0.38
DELL,2025-09-05,1.64,-0.3286
DELL,2025-08-06,1.34,0.7941
