Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-01-01,AIG,7.7,7.9,10.0,5.8
2025-02-01,AIG,11.3,7.9,10.0,5.8
2025-03-01,AIG,8.1,7.9,10.0,5.8
2025-04-01,AIG,12.0,7.9,10.0,5.8
2025-05-01,AIG,6.5,7.9,10.0,5.8
2025-06-01,AIG,4.6,7.9,10.0,5.8
2025-07-01,AIG,9.6,7.9,10.0,5.8
2025-08-01,AIG,8.5,7.9,10.0,5.8
2025-09-01,AIG,3.1,7.9,10.0,5.8
2024-08-01,AIZ,32.6,23.2,32.7,13.6
2024-09-01,AIZ,14.9,23.2,32.7,13.6
2024-10-01,AIZ,14.4,23.2,32.7,13.6
2024-11-01,AIZ,41.2,23.2,32.7,13.6
2024-12-01,AIZ,21.9,23.2,32.7,13.6
2025-01-01,AIZ,24.1,23.2,32.7,13.6
2025-02-01,AIZ,19.7,23.2,32.7,13.6
2025-03-01,AIZ,18.6,23.2,32.7,13.6
2025-04-01,AIZ,37.1,23.2,32.7,13.6
2025-05-01,AIZ,15.8,23.2,32.7,13.6
2025-06-01,AIZ,12.8,23.2,32.7,13.6
2025-07-01,AIZ,16.7,23.2,32.7,13.6
2025-08-01,AIZ,35.5,23.2,32.7,13.6
2025-09-01,AIZ,6.9,23.2,32.7,13.6
2024-08-01,AJG,16.0,32.8,42.2,23.4
2024-09-01,AJG,26.8,32.8,42.2,23.4
2024-10-01,AJG,20.3,32.8,42.2,23.4
2024-11-01,AJG,37.1,32.8,42.2,23.4
2024-12-01,AJG,36.1,32.8,42.2,23.4
2025-01-01,AJG,32.2,32.8,42.2,23.4
2025-02-01,AJG,39.1,32.8,42.2,23.4
2025-03-01,AJG,28.7,32.8,42.2,23.4
2025-04-01,AJG,49.5,32.8,42.2,23.4
2025-05-01,AJG,34.9,32.8,42.2,23.4
2025-06-01,AJG,42.3,32.8,42.2,23.4
2025-07-01,AJG,41.4,32.8,42.2,23.4
2025-08-01,AJG,29.9,32.8,42.2,23.4
2025-09-01,AJG,9.5,32.8,42.2,23.4
2024-08-01,AKAM,12.6,11.6,17.7,5.4
2024-09-01,AKAM,9.0,11.6,17.7,5.4
2024-10-01,AKAM,7.4,11.6,17.7,5.4
2024-11-01,AKAM,20.6,11.6,17.7,5.4
2024-12-01,AKAM,6.5,11.6,17.7,5.4
2025-01-01,AKAM,13.9,11.6,17.7,5.4
2025-02-01,AKAM,28.3,11.6,17.7,5.4
2025-03-01,AKAM,9.7,11.6,17.7,5.4
2025-04-01,AKAM,14.5,11.6,17.7,5.4
2025-05-01,AKAM,11.4,11.6,17.7,5.4
2025-06-01,AKAM,5.7,11.6,17.7,5.4
2025-07-01,AKAM,5.7,11.6,17.7,5.4
2025-08-01,AKAM,9.5,11.6,17.7,5.4
2025-09-01,AKAM,3.1,11.6,17.7,5.4
2024-08-01,ALB,27.5,18.8,25.4,12.2
2024-09-01,ALB,22.9,18.8,25.4,12.2
2024-10-01,ALB,13.3,18.8,25.4,12.2
2024-11-01,ALB,18.4,18.8,25.4,12.2
2024-12-01,ALB,28.8,18.8,25.4,12.2
2025-01-01,ALB,16.0,18.8,25.4,12.2
2025-02-01,ALB,11.9,18.8,25.4,12.2
2025-03-01,ALB,12.9,18.8,25.4,12.2
2025-04-01,ALB,24.2,18.8,25.4,12.2
2025-05-01,ALB,8.8,18.8,25.4,12.2
2025-06-01,ALB,13.0,18.8,25.4,12.2
2025-07-01,ALB,25.6,18.8,25.4,12.2
2025-08-01,ALB,23.0,18.8,25.4,12.2
2025-09-01,ALB,6.7,18.8,25.4,12.2
2024-08-01,ALGN,49.1,40.6,56.6,24.6
2024-09-01,ALGN,44.6,40.6,56.6,24.6
2024-10-01,ALGN,51.3,40.6,56.6,24.6
2024-11-01,ALGN,36.4,40.6,56.6,24.6
2024-12-01,ALGN,42.1,40.6,56.6,24.6
2025-01-01,ALGN,31.2,40.6,56.6,24.6
2025-02-01,ALGN,49.0,40.6,56.6,24.6
2025-03-01,ALGN,35.0,40.6,56.6,24.6
2025-04-01,ALGN,44.5,40.6,56.6,24.6
2025-05-01,ALGN,28.4,40.6,56.6,24.6
2025-06-01,ALGN,18.0,40.6,56.6,24.6
2025-07-01,ALGN,80.6,40.6,56.6,24.6
2025-08-01,ALGN,21.2,40.6,56.6,24.6
2025-09-01,ALGN,8.3,40.6,56.6,24.6
2024-08-01,ALL,20.9,20.3,25.9,14.7
2024-09-01,ALL,12.9,20.3,25.9,14.7
2024-10-01,ALL,19.7,20.3,25.9,14.7
2024-11-01,ALL,28.6,20.3,25.9,14.7
2024-12-01,ALL,20.9,20.3,25.9,14.7
2025-01-01,ALL,18.1,20.3,25.9,14.7
2025-02-01,ALL,15.2,20.3,25.9,14.7
2025-03-01,ALL,20.1,20.3,25.9,14.7
2025-04-01,ALL,34.2,20.3,25.9,14.7
2025-05-01,ALL,18.2,20.3,25.9,14.7
2025-06-01,ALL,22.8,20.3,25.9,14.7
2025-07-01,ALL,18.0,20.3,25.9,14.7
2025-08-01,ALL,16.5,20.3,25.9,14.7
2025-09-01,ALL,7.7,20.3,25.9,14.7
2024-08-01,ALLE,13.6,13.6,19.0,8.3
2024-09-01,ALLE,13.0,13.6,19.0,8.3
2024-10-01,ALLE,17.7,13.6,19.0,8.3
2024-11-01,ALLE,9.1,13.6,19.0,8.3
2024-12-01,ALLE,14.8,13.6,19.0,8.3
2025-01-01,ALLE,11.0,13.6,19.0,8.3
2025-02-01,ALLE,10.1,13.6,19.0,8.3
2025-03-01,ALLE,12.4,13.6,19.0,8.3
2025-04-01,ALLE,25.4,13.6,19.0,8.3
2025-05-01,ALLE,7.4,13.6,19.0,8.3
2025-06-01,ALLE,10.1,13.6,19.0,8.3
2025-07-01,ALLE,23.1,13.6,19.0,8.3
2025-08-01,ALLE,9.9,13.6,19.0,8.3
2025-09-01,ALLE,6.4,13.6,19.0,8.3
2024-08-01,AMAT,41.4,30.8,37.4,24.1
2024-09-01,AMAT,38.8,30.8,37.4,24.1
2024-10-01,AMAT,36.4,30.8,37.4,24.1
2024-11-01,AMAT,27.5,30.8,37.4,24.1
2024-12-01,AMAT,26.7,30.8,37.4,24.1
2025-01-01,AMAT,37.7,30.8,37.4,24.1
2025-02-01,AMAT,30.6,30.8,37.4,24.1
2025-03-01,AMAT,19.2,30.8,37.4,24.1
2025-04-01,AMAT,28.9,30.8,37.4,24.1
2025-05-01,AMAT,27.6,30.8,37.4,24.1
2025-06-01,AMAT,30.4,30.8,37.4,24.1
2025-07-01,AMAT,26.6,30.8,37.4,24.1
