"Date","Ticker","prem_disc","prem_disc_avg","prem_disc_hi","prem_disc_lo"
4/4/2025 0:00:00,"XLK","-0.0115","-0.0017","0.3083","-0.3117"
4/7/2025 0:00:00,"XLK","0.2365","-0.0017","0.3083","-0.3117"
4/8/2025 0:00:00,"XLK","0.1593","-0.0017","0.3083","-0.3117"
4/9/2025 0:00:00,"XLK","-0.4312","-0.0017","0.3083","-0.3117"
4/10/2025 0:00:00,"XLK","-0.2868","-0.0017","0.3083","-0.3117"
4/11/2025 0:00:00,"XLK","-0.3485","-0.0017","0.3083","-0.3117"
4/14/2025 0:00:00,"XLK","-0.5204","-0.0017","0.3083","-0.3117"
4/15/2025 0:00:00,"XLK","-0.6266","-0.0017","0.3083","-0.3117"
4/16/2025 0:00:00,"XLK","-0.4200","-0.0017","0.3083","-0.3117"
4/17/2025 0:00:00,"XLK","-0.4626","-0.0017","0.3083","-0.3117"
4/21/2025 0:00:00,"XLK","-0.3937","-0.0017","0.3083","-0.3117"
4/22/2025 0:00:00,"XLK","-0.3359","-0.0017","0.3083","-0.3117"
4/23/2025 0:00:00,"XLK","-0.4654","-0.0017","0.3083","-0.3117"
4/24/2025 0:00:00,"XLK","-0.5307","-0.0017","0.3083","-0.3117"
4/25/2025 0:00:00,"XLK","-0.5623","-0.0017","0.3083","-0.3117"
4/28/2025 0:00:00,"XLK","-0.5701","-0.0017","0.3083","-0.3117"
4/29/2025 0:00:00,"XLK","-0.5611","-0.0017","0.3083","-0.3117"
4/30/2025 0:00:00,"XLK","-0.4934","-0.0017","0.3083","-0.3117"
5/1/2025 0:00:00,"XLK","-0.6073","-0.0017","0.3083","-0.3117"
5/2/2025 0:00:00,"XLK","-0.6126","-0.0017","0.3083","-0.3117"
5/5/2025 0:00:00,"XLK","-0.5935","-0.0017","0.3083","-0.3117"
5/6/2025 0:00:00,"XLK","-0.4524","-0.0017","0.3083","-0.3117"
5/7/2025 0:00:00,"XLK","-0.5347","-0.0017","0.3083","-0.3117"
5/8/2025 0:00:00,"XLK","-0.5225","-0.0017","0.3083","-0.3117"
5/9/2025 0:00:00,"XLK","-0.2136","-0.0017","0.3083","-0.3117"
5/12/2025 0:00:00,"XLK","-0.2646","-0.0017","0.3083","-0.3117"
5/13/2025 0:00:00,"XLK","-0.2481","-0.0017","0.3083","-0.3117"
5/14/2025 0:00:00,"XLK","-0.2657","-0.0017","0.3083","-0.3117"
5/15/2025 0:00:00,"XLK","-0.3068","-0.0017","0.3083","-0.3117"
5/16/2025 0:00:00,"XLK","-0.3200","-0.0017","0.3083","-0.3117"
